"AREA";"PERIMETER";"PR_";"PR_ID";"RINGS_OK";"RINGS_NOK";"WRSPR";"PR";"PATH";"ROW";"MODE";"DAYCLASS";"SEQUENCE";"ctry_id";"ctry_name";"ctry_abbr"
15.74323;26.98606;249;249;1;0;29001;29001;29;1;"D";1;2481;93;"Greenland";"GR"
14.55368;25.84254;250;250;1;0;29002;29002;29;2;"D";1;2482;93;"Greenland";"GR"
13.3726;24.20323;251;251;1;0;29003;29003;29;3;"D";1;2483;93;"Greenland";"GR"
12.26691;22.40265;252;252;1;0;29004;29004;29;4;"D";1;2484;93;"Greenland";"GR"
11.265;20.64264;253;253;1;0;29005;29005;29;5;"D";1;2485;93;"Greenland";"GR"
10.37244;19.022;254;254;1;0;29006;29006;29;6;"D";1;2486;93;"Greenland";"GR"
8.89147;16.31057;256;256;1;0;29008;29008;29;8;"D";1;2488;40;"Canada";"CA"
8.28181;15.21075;257;257;1;0;29009;29009;29;9;"D";1;2489;40;"Canada";"CA"
7.74478;14.25872;258;258;1;0;29010;29010;29;10;"D";1;2490;40;"Canada";"CA"
7.2695;13.43433;259;259;1;0;29011;29011;29;11;"D";1;2491;40;"Canada";"CA"
6.84813;12.71922;260;260;1;0;29012;29012;29;12;"D";1;2492;40;"Canada";"CA"
6.47281;12.09622;261;261;1;0;29013;29013;29;13;"D";1;2493;40;"Canada";"CA"
6.13698;11.55121;262;262;1;0;29014;29014;29;14;"D";1;2494;40;"Canada";"CA"
5.83556;11.07201;263;263;1;0;29015;29015;29;15;"D";1;2495;40;"Canada";"CA"
5.56439;10.64884;264;264;1;0;29016;29016;29;16;"D";1;2496;40;"Canada";"CA"
4.70892;9.36486;268;268;1;0;29020;29020;29;20;"D";1;2500;40;"Canada";"CA"
4.53992;9.1198;269;269;1;0;29021;29021;29;21;"D";1;2501;40;"Canada";"CA"
4.38466;8.897;270;270;1;0;29022;29022;29;22;"D";1;2502;40;"Canada";"CA"
4.24216;8.69426;271;271;1;0;29023;29023;29;23;"D";1;2503;40;"Canada";"CA"
4.11088;8.50909;272;272;1;0;29024;29024;29;24;"D";1;2504;40;"Canada";"CA"
3.98973;8.33937;273;273;1;0;29025;29025;29;25;"D";1;2505;40;"Canada";"CA"
3.87776;8.18344;274;274;1;0;29026;29026;29;26;"D";1;2506;40;"Canada";"CA"
3.87776;8.18344;274;274;1;0;29026;29026;29;26;"D";1;2506;239;"United States of America";"US"
3.77398;8.0399;275;275;1;0;29027;29027;29;27;"D";1;2507;239;"United States of America";"US"
3.67789;7.90757;276;276;1;0;29028;29028;29;28;"D";1;2508;239;"United States of America";"US"
3.58842;7.78504;277;277;1;0;29029;29029;29;29;"D";1;2509;239;"United States of America";"US"
3.5056;7.67197;278;278;1;0;29030;29030;29;30;"D";1;2510;239;"United States of America";"US"
3.42827;7.56683;279;279;1;0;29031;29031;29;31;"D";1;2511;239;"United States of America";"US"
3.35644;7.46952;280;280;1;0;29032;29032;29;32;"D";1;2512;239;"United States of America";"US"
